xx p1 p2 pp1 pp2 sup triv
0 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
1 0.000000 0.000000 0.333333 0.333333 0.333333 1.000000 
2 0.666667 0.000000 0.666667 0.666667 1.000000 1.000000 
3 1.000000 0.000000 1.000000 0.666667 1.000000 1.000000 
4 0.666667 0.000000 0.666667 0.666667 1.000000 1.000000 
5 0.000000 0.666667 0.666667 0.666667 1.000000 1.000000 
6 0.000000 1.000000 0.666667 1.000000 1.000000 1.000000 
7 0.000000 0.666667 0.666667 0.666667 1.000000 1.000000 
8 0.000000 0.000000 0.333333 0.333333 0.333333 1.000000 
9 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
10 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 
