   p1          p2          pp1          pp2      sup         triv
    0.           0.           0.           0.           0.           1.  
    0.           0.           0.3333333    0.3333333    0.3333333    1.  
    0.6666667    0.           0.6666667    0.6666667    1.           1.  
    1.           0.           1.           0.6666667    1.           1.  
    0.6666667    0.           0.6666667    0.6666667    1.           1.  
    0.           0.6666667    0.6666667    0.6666667    1.           1.  
    0.           1.           0.6666667    1.           1.           1.  
    0.           0.6666667    0.6666667    0.6666667    1.           1.  
    0.           0.           0.3333333    0.3333333    0.3333333    1.  
    0.           0.           0.           0.           0.           1.  
