x p1 p2 one max
0.000000 0.000000 0.000000 1.0 0.0
0.500000 0.000000 0.000000 1.0 0.0
1.000000 0.000000 0.000000 1.0 0.0
1.500000 0.000000 0.000000 1.0 0.0
2.000000 0.000000 0.000000 1.0 0.0
2.500000 0.000000 0.000000 1.0 0.0
3.000000 0.018316 0.400000 1.0 0.0
3.500000 0.105399 0.625000 1.0 0.0
4.000000 0.367879 0.750000 1.0 0.0
4.500000 0.778801 0.875000 1.0 0.0
5.000000 1.000000 1.000000 1.0 0.0
5.000000 1.000000 1.000000 1.0 1.0
5.000000 1.000000 1.000000 1.0 0.0
5.500000 0.778801 0.875000 1.0 0.0
6.000000 0.367879 0.750000 1.0 0.0
6.500000 0.105399 0.625000 1.0 0.0
7.000000 0.018316 0.400000 1.0 0.0
7.500000 0.000000 0.000000 1.0 0.0 
8.000000 0.000000 0.000000 1.0 0.0
8.500000 0.000000 0.000000 1.0 0.0
9.000000 0.000000 0.000000 1.0 0.0
9.500000 0.000000 0.000000 1.0 0.0
10.000000 0.000000 0.000000 1.0 0.0
